Tract,Council,OwnDate,LnSalePrice,SalePrice,PropAddr,PropCity,PropZip,PropDate,Acres,LUDesc,FinishArea,NAME10,CoreBin,Quarter,TimeBin,BuildTimeCensus01,Year,PropYear,SaleYear,Age,QuarterByYear,MonthByYear,Quarter1,PopulationTract,PrcntWhite,%Black(onerace),Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,BAorHigher,BuildPreTrt
37016400,18,2020-03-13,16.835935492889124,20500000,1710 BELCOURT AVE,NASHVILLE,37212,1962-05-15,0.66,APARTMENT: HIGH RISE (3 STORIES OR GREATER),78403,164.0,0,"2020,1",1,109.0,2020,1962,2020,58,1,3,81,4402.0,84.3836886,6.394810009,0,0.18,0.71,0.11,0.61,14
37019500,19,2019-12-02,16.845644306544774,20700000,805 DIVISION ST,NASHVILLE,37203,2020-01-08,2.35,APARTMENT: HIGH RISE (3 STORIES OR GREATER),218025,195.0,1,"2019,4",1,462.0,2019,2020,2019,0,4,12,80,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37016300,17,2022-08-18,17.085079535170806,26300000,1226 16TH AVE S,NASHVILLE,37212,2011-12-09,0.72,APARTMENT: HIGH RISE (3 STORIES OR GREATER),110637,163.0,0,"2022,3",1,469.0,2022,2011,2022,11,3,8,91,2189.0,36.38475836,61.29182156,0.29,0.15,0.45,0.11,0.31,7
37016300,19,2018-11-30,17.0926553286923,26500000,1221 DIVISION ST,NASHVILLE,37203,2017-04-05,2.06,APARTMENT: HIGH RISE (3 STORIES OR GREATER),0,163.0,0,"2018,4",1,469.0,2018,2017,2018,1,4,11,76,2189.0,36.38475836,61.29182156,0.29,0.15,0.45,0.11,0.31,7
37019500,19,2017-07-28,17.122397296785223,27300000,500 REP JOHN LEWIS WAY N,NASHVILLE,37219,1967-10-20,0.89,APARTMENT: HIGH RISE (3 STORIES OR GREATER),135920,195.0,1,"2017,3",1,462.0,2017,1967,2017,50,3,7,71,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2021-03-19,17.147715103853763,28000000,1111 CHURCH ST,NASHVILLE,37203,2021-12-10,1.5,APARTMENT: HIGH RISE (3 STORIES OR GREATER),683135,195.0,1,"2021,1",1,462.0,2021,2021,2021,0,1,3,85,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2021-03-19,17.147715103853763,28000000,1111 CHURCH ST,NASHVILLE,37203,2021-12-10,1.5,APARTMENT: HIGH RISE (3 STORIES OR GREATER),683135,195.0,1,"2021,1",1,462.0,2021,2021,2021,0,1,3,85,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37016600,21,2014-01-09,17.752226195494988,51250000,221 31ST AVE N,NASHVILLE,37203,2012-03-29,2.61,APARTMENT: HIGH RISE (3 STORIES OR GREATER),277729,166.0,0,"2014,1",1,175.0,2014,2012,2014,2,1,1,57,2436.0,74.06630298,10.49097776,0.03,0.24,0,0.74,0.67,13
37016800,18,2019-08-22,17.753201329634177,51300000,2115 PORTLAND AVE,NASHVILLE,37212,1984-11-30,3.22,APARTMENT: HIGH RISE (3 STORIES OR GREATER),169715,168.0,0,"2019,3",1,389.0,2019,1984,2019,35,3,8,79,4194.0,87.07482993,1.724975705,0.04,0,0.21,0.76,0.78,19
37016800,18,2019-08-22,17.753201329634177,51300000,2005 21ST AVE S,NASHVILLE,37212,1996-11-06,2.35,APARTMENT: HIGH RISE (3 STORIES OR GREATER),124098,168.0,0,"2019,3",1,389.0,2019,1996,2019,23,3,8,79,4194.0,87.07482993,1.724975705,0.04,0,0.21,0.76,0.78,19
37019400,19,2014-04-02,17.79050838133315,53250000,515 MADISON ST,NASHVILLE,37208,2009-02-04,2.73,APARTMENT: HIGH RISE (3 STORIES OR GREATER),341904,194.0,0,"2014,2",1,1045.0,2014,2009,2014,5,2,4,58,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,2021-08-06,17.87422795981438,57900000,1600 MCGAVOCK ST,NASHVILLE,37203,2015-06-25,1.24,APARTMENT: HIGH RISE (3 STORIES OR GREATER),268393,195.0,0,"2021,3",1,462.0,2021,2015,2021,6,3,8,87,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
